Date,Australia,USA,Japan,UK,NZ
31-03-2020,1.8,2.4,-0.8,0.9,2.3
30-06-2020,-0.1,0,-3.2,-4.9,-0.7
30-09-2020,-1.4,-1.1,-4.5,-7.8,-1
31-12-2020,-2,-2.2,-4.2,-10.3,-1.3
31-03-2021,-1.9,-2,-3.9,-11.4,-0.3
30-06-2021,2.1,2.7,0.3,-1.6,6.2
30-09-2021,4.1,4.3,2.2,3.7,5.3
31-12-2021,5.4,6.1,2.7,8.6,5.6
31-03-2022,5.8,6.6,3,13,4.5
30-06-2022,4.2,4.3,1.5,8.5,0.7
30-09-2022,4.7,3.6,1.3,6.8,2.7
31-12-2022,4.1,2.5,0.9,4.8,2.9
31-03-2023,3.9,2.1,1.4,2.4,3.5
30-06-2023,3.4,2.2,1.4,1.8,4
30-09-2023,2.5,2.4,1.4,0.6,2.4
31-12-2023,2,2.9,1.5,0.4,1.8
31-03-2024,1.6,3,0.7,0.4,1.4
30-06-2024,1.4,3.1,0.1,0.5,0.6
30-09-2024,1.1,3,0,1.2,0.1
31-12-2024,1.1,2.8,0.1,,-0.5
