DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,UNIT_MEASURE:Unit of measure,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,6/30/2002,F:Free,,A:Normal value,2.818792
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,7/31/2002,F:Free,,A:Normal value,3.212851
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,8/31/2002,F:Free,,A:Normal value,3.212851
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,9/30/2002,F:Free,,A:Normal value,3.212851
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,10/31/2002,F:Free,,A:Normal value,2.917772
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,11/30/2002,F:Free,,A:Normal value,2.917772
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,12/31/2002,F:Free,,A:Normal value,2.917772
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1/31/2003,F:Free,,A:Normal value,3.285151
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,2/28/2003,F:Free,,A:Normal value,3.285151
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,3/31/2003,F:Free,,A:Normal value,3.285151
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,4/30/2003,F:Free,,A:Normal value,2.610966
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,5/31/2003,F:Free,,A:Normal value,2.610966
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,6/30/2003,F:Free,,A:Normal value,2.610966
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,7/31/2003,F:Free,,A:Normal value,2.594034
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,8/31/2003,F:Free,,A:Normal value,2.594034
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,9/30/2003,F:Free,,A:Normal value,2.594034
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,10/31/2003,F:Free,,A:Normal value,2.448454
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,11/30/2003,F:Free,,A:Normal value,2.448454
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,12/31/2003,F:Free,,A:Normal value,2.448454
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1/31/2004,F:Free,,A:Normal value,2.035623
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,2/29/2004,F:Free,,A:Normal value,2.035623
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,3/31/2004,F:Free,,A:Normal value,2.035623
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,4/30/2004,F:Free,,A:Normal value,2.544529
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,5/31/2004,F:Free,,A:Normal value,2.544529
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,6/30/2004,F:Free,,A:Normal value,2.544529
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,7/31/2004,F:Free,,A:Normal value,2.275601
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,8/31/2004,F:Free,,A:Normal value,2.275601
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,9/30/2004,F:Free,,A:Normal value,2.275601
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,10/31/2004,F:Free,,A:Normal value,2.515723
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,11/30/2004,F:Free,,A:Normal value,2.515723
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,12/31/2004,F:Free,,A:Normal value,2.515723
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1/31/2005,F:Free,,A:Normal value,2.369077
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,2/28/2005,F:Free,,A:Normal value,2.369077
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,3/31/2005,F:Free,,A:Normal value,2.369077
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,4/30/2005,F:Free,,A:Normal value,2.48139
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,5/31/2005,F:Free,,A:Normal value,2.48139
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,6/30/2005,F:Free,,A:Normal value,2.48139
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,7/31/2005,F:Free,,A:Normal value,3.090235
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,8/31/2005,F:Free,,A:Normal value,3.090235
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,9/30/2005,F:Free,,A:Normal value,3.090235
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,10/31/2005,F:Free,,A:Normal value,2.822086
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,11/30/2005,F:Free,,A:Normal value,2.822086
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,12/31/2005,F:Free,,A:Normal value,2.822086
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1/31/2006,F:Free,,A:Normal value,2.923264
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,2/28/2006,F:Free,,A:Normal value,2.923264
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,3/31/2006,F:Free,,A:Normal value,2.923264
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,4/30/2006,F:Free,,A:Normal value,3.995157
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,5/31/2006,F:Free,,A:Normal value,3.995157
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,6/30/2006,F:Free,,A:Normal value,3.995157
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,7/31/2006,F:Free,,A:Normal value,3.956835
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,8/31/2006,F:Free,,A:Normal value,3.956835
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,9/30/2006,F:Free,,A:Normal value,3.956835
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,10/31/2006,F:Free,,A:Normal value,3.341289
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,11/30/2006,F:Free,,A:Normal value,3.341289
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,12/31/2006,F:Free,,A:Normal value,3.341289
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1/31/2007,F:Free,,A:Normal value,2.485207
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,2/28/2007,F:Free,,A:Normal value,2.485207
