country,TopicECBLang,TopicGrowth,TopicInflation,TopicJapanLang,TopicFedLang,TopicPandemic,TopicCBOperation,TopicFinance
Armenia,0.029761255700115972,0.011976916857286107,0.8788489881211595,0.003456329840818209,0.0013678710038674635,0.020790034785754773,0.04158523965217235,0.012213364038824982
Australia,0.0021603976183916886,0.7927510311635985,0.1493353608983193,0.0008405749415264148,0.0004698666428894,0.049218743691600765,0.004754158455798211,0.00046986658787507776
Canada,0.003426312162504087,0.8157841768560175,0.13549522615613913,0.0012803098876147227,0.0013482475245938776,0.018529009271653393,0.0235792699738498,0.000557448167626916
Chile,0.008286605845976118,0.04644818280117295,0.9215799002812262,0.0007105049307001445,0.004346895592469102,0.009599461702316594,0.007751514398123949,0.0012769344480144179
ECB,0.9617837859609479,0.006038286239644126,0.026513184410772626,0.0001922117396070715,0.00012660895221299764,0.0038691259598878946,0.00098015157007185,0.0004966451668548568
Fed,0.00561856359237611,0.02118674389814758,0.29052682174317995,0.002194259115340297,0.61735723565477,0.03290266029111646,0.025037414745699583,0.005176300959369288
Hungary,0.06245454532051138,0.059006178188436224,0.8485845913346179,0.001165524006300637,0.0009546015776939195,0.009178986018965418,0.01798283578086942,0.0006727377726043761
Iceland,0.201784024945721,0.23727710336707356,0.3021127650467691,0.0003060565085833,0.08369492692106653,0.016546327665606222,0.15662351635204488,0.0016552791931346222
Indonesia,0.03542748082434906,0.47842281824828503,0.45092980082402606,0.00027638049086591503,0.0005606555767006604,0.01382760414355289,0.019045993044695522,0.0015092668475241095
Japan,0.014261393341590487,0.062285473382781384,0.07272494192099757,0.7588915303376212,0.0035207414410184084,0.0071455803491606296,0.07675077636618272,0.004419562860646734
Korea,0.0012003525146531255,0.07291874838782882,0.26205367845306465,0.03643640601676342,0.0017303785746686001,0.0012003526853379808,0.00841235245408365,0.6160477309135991
NewZealand,0.035325094370069005,0.3827014785799807,0.37258113506635404,0.0005524290368341601,0.0005524289548353733,0.20551688523555323,0.0005524292918021734,0.0022181194645706135
Norway,0.0034117674133386762,0.3933738874715976,0.5724794645664392,0.0005331503182851,0.0005331503016603412,0.004555534993060935,0.012767414599567263,0.012345630336050142
Peru,0.0008885770576438384,0.008340746843524188,0.7349462144212546,0.0009998957879618362,0.002480015105124517,0.007816762977868565,0.2426960506582608,0.0018317371483609491
Philippines,0.029036784231562435,0.027832589129003667,0.5755104156152512,0.2861441081530017,0.0035299466782252945,0.023468089416697712,0.048942851346359756,0.005535215429897617
Poland,0.0016975889260956321,0.004793082834340578,0.9763874344854824,0.00025243262929611064,0.0005387412362758872,0.0006005617444860085,0.015114784263742336,0.0006153738802803766
Thailand,0.001154293922758475,0.7466952381182591,0.22694587091088572,0.0011542932916275036,0.003103810877351693,0.007933801560861329,0.006440898758610082,0.006571792559645357
