country,TopicECBLang,TopicGrowth,TopicInflation,TopicJapanLang,TopicFedLang,TopicPandemic,TopicCBOperation,TopicFinance
Armenia,0.0051642185761103,0.008864505035679572,0.9162075921090558,0.0011348671762472637,0.0004921821184232364,0.05114619894560652,0.008393021450848272,0.00859741458802789
Australia,0.002956056366674627,0.5509010907942469,0.1291548948131244,0.001353446172163491,0.0014026755091264,0.3066447970338605,0.007306342276334963,0.00028069703446749087
Canada,0.002461637589131691,0.504918251684801,0.21119532463694538,0.0003519854099297,0.013789933603300608,0.2524978645885694,0.009942409454603491,0.004842593032717609
Chile,0.0002475825766280909,0.044969598137515214,0.7250093967047196,0.001314526085820773,0.0002475824491170091,0.17125443499655804,0.03193779544298418,0.025019083606655775
Colombia,0.000721708103464691,0.042857342991351355,0.7983717707541792,0.0007217078714866091,0.003295502805530036,0.10462398238877917,0.047929792599325546,0.0014781924858822183
ECB,0.5179010562661766,0.006267792827818122,0.15339751574910784,0.00011759010196506731,0.000892735576155814,0.17893172171378538,0.002030239918580735,0.14046134784640957
Fed,0.00041258146931963635,0.0020118555321418092,0.006151113599914482,0.00041258132110974543,0.9142013877993964,0.05363991480576143,0.0214802921453781,0.0016902733269772363
Hungary,0.003702375905792518,0.003922498415927654,0.8117142153193626,0.00013071910249983637,0.00026755550238852726,0.16592370214299826,0.007989351216285327,0.006349582394744055
Iceland,0.02048333534303691,0.017353030662969,0.5721511931939246,0.0006279603754453818,0.19564556421780874,0.12510505665758942,0.05497926271773113,0.013654596831493827
Indonesia,0.0012275129520449922,0.9092313006082121,0.005869581914008834,0.00016828805627861594,0.00023649838180856613,0.028025162711037454,0.003860461356643979,0.051381194019964875
Japan,0.006812579554518927,0.003133708122386982,0.00859407032560041,0.9024866383685631,0.0007195887488759999,0.033928163204709254,0.04047356522951206,0.003851686445832127
Korea,0.00038455648910898187,0.13265971928545725,0.6590045754797368,0.03732461321377249,0.0003845564914538727,0.07092712419555462,0.009228203476879717,0.09008665136803509
NewZealand,0.0058631927069151355,0.29555491313627397,0.19551231235053843,0.0023011608063553,0.010219977859380582,0.47066307798421536,0.012036347683540992,0.007849017472779609
Norway,0.0007115662525873545,0.8481691743239,0.04891374442149592,0.0007115657091643728,0.0033006425076997363,0.0913931247857833,0.0017941272511197816,0.005006054748248372
Peru,0.0017573900180794092,0.005376408563579426,0.8200202803883109,0.0009360497649940816,0.0090658004543528,0.1446811290148321,0.01684639466326829,0.0013165471325817272
Philippines,0.018392492753329784,0.06527124320822161,0.40802517896431517,0.30956485835242825,0.0011653161041826092,0.18661705895966293,0.006930738273228046,0.004033113384630391
Poland,0.0023706008454959637,0.004434096365324027,0.6567843013141165,0.0004745599483160454,0.00031634576560332726,0.33005062816308534,0.004174996738687173,0.0013944708593703818
Thailand,0.0005648231731754909,0.7543954941546869,0.010078529320752556,0.0002476850999873,0.00024768511884866364,0.22421388274126047,0.002708878332147982,0.00754302205913949
