,score_hawkish_wNeg,positiveFin,negativeFin,positiveT,negativeT
readabilityPC,0.41057393602424064,0.2982252072468624,-0.36703338417719167,0.4918550633330021,-0.4918550567617849
concretePC,0.539126267376412,0.47448261554634696,0.24280056374177783,-0.07533949790211618,0.07533950662737382
entropyPC,0.5000846167249485,0.3959065940561846,-0.0728072132797548,0.386142767164908,-0.38614276435037526
coherencePC,0.6766130330052941,0.6057355055641707,0.12832345963331537,0.16339207800985112,-0.16339207102772776
