country,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
Armenia,0.01322559162345307,0.0033657195984013793,0.006244920661042297,0.8292086505406665,0.005582024807755839,0.03556749236629832,0.0013852654101802141,0.0011667932091231437,0.051693431836087045,0.012752642781041802,0.02561896210402814,0.004148251994821475,0.0025216003117132157,0.003835842329008503,0.0036828104263778674
Australia,0.014032201848443006,0.0008001907929907152,0.0005376521681651882,0.03351515834332087,0.011259052018186813,0.0008827008874918976,0.00097062798879042,0.0014448848608600447,0.13473922260096977,0.05732309767218061,0.018933609243687265,0.010200648923386105,0.00040717427271081416,0.7110940207946266,0.0038597575841886815
Canada,0.008553652581701293,0.0012230566373339414,0.0017661389830183494,0.03778174973246042,0.011075258274007944,0.005845445888989045,0.0016945839829173746,0.004022780360273205,0.13644000363585265,0.038709927892462546,0.027659790860979923,0.6406895934751862,0.001959611567788286,0.07651033264756758,0.006068073479460119
Chile,0.009625355561987467,0.00610017822679869,0.029125104913669982,0.06973897713330696,0.006560048222300306,0.5749785612023968,0.008373043554090178,0.002369055073889602,0.06376513320089638,0.02721719375080474,0.14887413965553672,0.02120019027448702,0.0033030109464742543,0.015279278686898523,0.013490729596461134
Colombia,0.01884525129324906,0.0015458741096349184,0.017146082247948276,0.04325316305025035,0.00771538989384221,0.07533339251477812,0.0005499656011164447,0.0023667444944278186,0.04741838009051154,0.03409348374288196,0.7116843834772019,0.02034643086609597,0.006717450943505304,0.0028788235042134474,0.01010518417034153
ECB,0.005880446902229837,0.03660833705270791,0.0006846845337784963,0.006267249171756444,0.7907691142430758,0.002402962479528998,0.00021152278147686262,0.0005309008871644976,0.10208439529726675,0.0278632376966973,0.01817555541193361,0.002697982758934389,0.0017218705368921632,0.0021313159513507724,0.0019704242952050506
Fed,0.00968515461283515,0.004000213675922498,0.0006526401155075271,0.17615444096697186,0.004241827555669656,0.001409513838245153,0.0008080290767935199,0.7621011856096106,0.0035755009353598387,0.01500032066688362,0.001919570854219263,0.004032277160295822,0.001170250291245475,0.014206971591134288,0.001042103049304536
Hungary,0.015833495108914474,0.002220368386412725,0.0014829301091542752,0.03262895729142998,0.026439046601426576,0.010575758202626013,0.0008708816497764235,0.0007640231872642607,0.03527141585043759,0.026479196552711068,0.019694141666745858,0.011035542189318303,0.0018913634517783034,0.02265909772021044,0.7921537820317924
Iceland,0.05080586501139483,0.010524636034431208,0.0008658827952449828,0.02220470083411911,0.02093523488540817,0.006624285416666636,0.00070767282209335,0.2059846973243027,0.21087582331365431,0.02774786666860853,0.38670335186371657,0.009154981424210142,0.009770086696957038,0.0201695191407829,0.01692539576840852
Indonesia,0.009291987450787482,0.009803479471294849,0.0009691507614795671,0.17332400187507713,0.010681207653523104,0.008984707785063481,0.0008226710476273365,0.0003663504708262185,0.00736773852176127,0.007695642757421225,0.0064284961121765455,0.005390377295004209,0.7478152423077437,0.005930457738020719,0.00512848875219223
Japan,0.0800172294367636,0.002876122478653627,0.0016933838909090379,0.009563434373731418,0.009799433129579356,0.0026383602980612447,0.8291568615934903,0.001824891372203488,0.008815930223866996,0.01264684388604869,0.0054559949377501905,0.02266189742682434,0.003348737446324248,0.006361738070344029,0.003139141435448179
Korea,0.012224504166074974,0.2727104562601418,0.002889876545711249,0.06348424539625704,0.003950615957408912,0.23823354823466197,0.035847670046373285,0.0024271254548831308,0.21827502471400756,0.011511125094733095,0.018140971656715885,0.07759726584868575,0.02699446928666974,0.007618853478843957,0.008094247858830483
NewZealand,0.0028481212771646965,0.002380131438080411,0.00562748145069502,0.10400337262081732,0.012672326032846716,0.004181491666509463,0.002086504881375115,0.0034097621255982503,0.18461354896001153,0.2505607388785177,0.03881638286334477,0.09292948851600112,0.0017952746872032341,0.28522454199830977,0.008850832603524206
Norway,0.009794298130548214,0.11686666342502816,0.001692821161250614,0.002634958964746291,0.004175005628632343,0.002960558723262412,0.0011269400086269781,0.0014754054404425248,0.022444530206824798,0.01227492006709983,0.260287589776776,0.005035651849248935,0.0014583101298285032,0.5523866370500311,0.005385709437652237
Peru,0.19094625892411202,0.0013833689324160448,0.7327289156884972,0.007832594858309802,0.0015629697695755116,0.014192580539209172,0.0007109084790352438,0.0020804168434999707,0.0021020945958597614,0.02108550452992722,0.016834737336297475,0.00223477207601045,0.0020289067717857417,0.0011620888516496125,0.003113881803813627
Philippines,0.025265788956456415,0.004783459175696002,0.004215366743927369,0.43422751266136533,0.023944609065110648,0.001806850781650913,0.3127158000942104,0.0023054318049364913,0.07968185144257757,0.03559492054612035,0.019614379105853088,0.03172221460296887,0.00748381571375708,0.010413752618330314,0.0062242466870379605
Poland,0.08360526342787133,0.0010304874550628397,0.0006272787455747917,0.010602501973896497,0.005537661115623767,0.7785660886415483,0.0007134478593163177,0.0006639924481786698,0.033021768833964266,0.04492988969451181,0.02977999429050895,0.001923800013309278,0.0020014955349578574,0.00430169596855765,0.0026946339971165908
Thailand,0.0032803297964033133,0.007142872913826698,0.0035064055539661475,0.07913855757235128,0.008581027507570962,0.012752021434097904,0.002278766593003338,0.003206426339246695,0.009174886422147269,0.03836007147742972,0.012671572342726862,0.7964757300292764,0.007576283147272403,0.008794248240948072,0.007060800629731881
