country,passed_quality_check,n_stop_words,alpha_ratio,mean_word_length,doc_length,symbol_to_word_ratio_#,proportion_ellipsis,proportion_bullet_points,contains_lorem ipsum,duplicate_line_chr_fraction,duplicate_paragraph_chr_fraction,duplicate_ngram_chr_fraction_5,duplicate_ngram_chr_fraction_6,duplicate_ngram_chr_fraction_7,duplicate_ngram_chr_fraction_8,duplicate_ngram_chr_fraction_9,duplicate_ngram_chr_fraction_10,top_ngram_chr_fraction_2,top_ngram_chr_fraction_3,top_ngram_chr_fraction_4,oov_ratio
Armenia,0.9861111111111112,135.45833333333334,0.8539976083850781,4.7467834047967195,353.30555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.050950414450032365,0.02604691358266833,0.013330224797635867,0.007351319307122741,0.0043885876155725975,0.0019299889116975815,0.018124760561065822,0.015840910996776546,0.012456533914443358,
Australia,1.0,259.2995169082126,0.885882602166108,4.675856763346162,626.0628019323672,0.0,0.0,0.0,0.0,0.0,0.0,0.020328035623261038,0.009276030722138286,0.0042313391013301584,0.0018672453280952502,0.0011958741123608851,0.000545516166315243,0.008947086271102198,0.009134728386524701,0.0027987799133378857,
Canada,1.0,184.5151515151515,0.8712907690146158,4.665919936176501,471.02525252525254,0.0,0.0,0.0,0.0,0.0,0.0,0.039584138944078764,0.019465567491617403,0.012296724777953004,0.009180533280015165,0.008270014532405738,0.00702403959478836,0.020000896972267583,0.01613692272318497,0.010078639113418338,
Chile,0.9962406015037594,135.7218045112782,0.8563421081953924,4.793612477505822,361.98496240601503,0.0,0.0,0.0,0.0,0.00019054563600268533,0.0,0.013817477977136824,0.006650703028656322,0.004234308467352225,0.001747321664594185,0.001225986063320323,0.0010314989903307734,0.026597453882741724,0.005572079199259281,0.0013961347173127062,
Colombia,0.7931034482758621,178.24137931034483,0.8199385499436268,4.58247342521212,479.04597701149424,5.296890725144252e-05,0.0,0.0,0.0,0.004235616343141194,0.00010382797803624254,0.08655064733071066,0.07244897985373959,0.05939813180590985,0.05212615032939374,0.04666021299463402,0.03371888740023766,0.014058202862538173,0.019305759031278784,0.01622228548623253,
ECB,0.5703125,605.30859375,0.876254818705011,4.819277152100839,1568.0625,0.0,0.0,0.0,0.0,0.0009996834690034614,0.0007344648322522355,0.15078090581824932,0.11959335121430886,0.10099337371801292,0.09238371793975514,0.08286279691374486,0.07871226452300391,0.012860661011812935,0.014946768771867127,0.012600895292953402,
Fed,0.9346733668341709,153.31658291457288,0.8629633393574855,4.868734902693855,461.94472361809045,0.0,0.0,0.0,0.0,0.0,0.0,0.061414181181248216,0.03530017991141598,0.026232090565194384,0.019725678613185603,0.011264949545268918,0.009939991218770353,0.017563966189243354,0.016956373723887898,0.013941624018798067,
Hungary,0.8241758241758241,343.54578754578756,0.863897008773741,4.7779180170433655,941.92673992674,0.0,0.0,0.012570109720233187,0.0,0.00157993873889129,0.0,0.0832003892507909,0.05996519633261009,0.04234959778583056,0.03112141392481324,0.023747075839522794,0.01889811309678027,0.01376330496367318,0.011609725755807163,0.008606711179048869,
Iceland,0.975609756097561,157.70731707317074,0.8346987207572589,4.579515808894543,414.7723577235772,0.0,0.0,0.0,0.0,8.934155275617886e-06,0.0,0.02423356083946469,0.010659720470978658,0.007159638894456942,0.0049313654752377555,0.00472883675955914,0.001567098631993074,0.01500580585409848,0.012158430560943855,0.004370762684123177,
Indonesia,0.8551401869158879,497.0700934579439,0.8208409321863314,4.875399570048234,1639.271028037383,0.0,0.0,0.0,0.0,0.00010205461809644078,1.9219742330564613e-05,0.08935111042589339,0.05633879658232938,0.03667535761953619,0.024074121430733564,0.017448530647520714,0.013325730222457212,0.01257934203056692,0.010438942543254288,0.007131233368166947,
