,Financial Sector,Central Bank,Government,Households,Firms
readabilityPC,0.20673465640608335,-0.10876173779890362,0.26090915778333146,-0.2871305619524907,0.10872762240114553
concretePC,-0.2689973460068683,-0.09123778733039242,0.5292629804506722,0.132039376442887,0.10422701657491555
entropyPC,0.4583186138344635,-0.5300925429276614,0.6631910235769778,-0.11555771820669364,0.17551510081665866
coherencePC,-0.13320672676534384,-0.33786364362782617,0.5576272107763012,0.11719014976374344,0.39382212407089096
