country,TopicECBLang,TopicGrowth,TopicInflation,TopicJapanLang,TopicFedLang,TopicPandemic,TopicCBOperation,TopicFinance
Armenia,0.006256492413999041,0.008255003303938262,0.9213231153984331,0.0010833638797783666,0.0004942359464340499,0.04692708470815932,0.0077366719817960295,0.007924032367461078
Australia,0.0028041910793587393,0.5738648276462325,0.1291706712979061,0.001054494196521076,0.0011578784058402908,0.28502028638443777,0.0066434861903636455,0.0002841647993391061
Canada,0.0047023594076782416,0.5201994323873339,0.2169612241933139,0.00035550596025763756,0.012673625143440925,0.23148922855161447,0.009146728056246483,0.0044718963001137875
Chile,0.00025043534001646667,0.051129472033095015,0.736877736056067,0.0012284668701855583,0.0005310499042111041,0.15772539803890162,0.02929979712517287,0.02295764463234957
Colombia,0.0007213544550728444,0.0437272790509193,0.8035686937778659,0.0007213542321850222,0.003867103608428996,0.09821171741909812,0.04784474830635404,0.0013377491500749963
ECB,0.5388486514727147,0.005786432514419595,0.1439502953816281,0.00012144283367179266,0.0008319928620447839,0.16403439682268975,0.0018747051677660933,0.14455208294506464
Fed,0.000426765255679975,0.0019898976848101335,0.005929914273861213,0.00042676507657110835,0.9206713541000795,0.049218487453773496,0.01973883336319968,0.0015979827920241418
Hungary,0.004963604933296635,0.0036356988059604283,0.8253810156441357,0.000133184255210011,0.00025861761971325564,0.15211008537866982,0.0073369303653741825,0.006180862997639329
Iceland,0.01885920188474529,0.013697559958025145,0.5613649967160402,0.0006591788126840181,0.2028426521502107,0.12404512591035921,0.06435279501291745,0.014178489555017194
Indonesia,0.0012643187440907148,0.9131812362475531,0.008574865471041462,0.00016609515134161055,0.00045007448716343087,0.025701563587858647,0.0035505873505751492,0.047111258960375636
Japan,0.006031223960667476,0.002980042353502564,0.008193085591051183,0.9064223631534469,0.000669392039744344,0.0340502742846695,0.038227980583150314,0.003425638033766968
Korea,0.000384549316134652,0.12843414217042726,0.6695181754107443,0.036814725300867525,0.00038454936847373203,0.06662539614993579,0.01205816331361952,0.08578029896979654
NewZealand,0.005436321872194216,0.3204089977121302,0.18871405433658328,0.002171125890320633,0.00943004158186485,0.45548775011636594,0.011095047176179625,0.007256661314360542
Norway,0.0007422377034225666,0.8597421187089355,0.04537741184839053,0.000742237163448475,0.0031155576026506916,0.08386699960441624,0.0017345852470888,0.00467885212164645
Peru,0.0016637298756739807,0.005086741589214017,0.8345434892626118,0.0009108346095511083,0.00836310607810245,0.13267715726441318,0.015495317448152364,0.001259623872280425
Philippines,0.01691463600721263,0.06436056100600497,0.4189768739744086,0.3172535965714012,0.0020298797917176503,0.16973811163340838,0.00640802778328892,0.004318313232556975
Poland,0.002247604643165388,0.005276698744662918,0.6878833490732897,0.0004894590333560121,0.00033124488607239695,0.298375090617452,0.0041898958413117485,0.001206657160689109
Thailand,0.00053594796901275,0.7740382324003038,0.009953795321068404,0.00024523805787342084,0.00024523811679533333,0.20554758592671973,0.002501331901619742,0.006932630306606212
