country,TopicECBLang,TopicGrowth,TopicInflation,TopicJapanLang,TopicFedLang,TopicPandemic,TopicCBOperation,TopicFinance
Armenia,0.036045648973130534,0.0136507975696949,0.8548895099517236,0.0038951843663884663,0.0013426238708416003,0.025080823540421366,0.05049718539739433,0.0145982263304039
Australia,0.001746999690790017,0.7557320912771246,0.1928463353443792,0.000896148210802875,0.00047910131132005004,0.04005389964781329,0.007766323204849992,0.0004791013129189083
Canada,0.0037170466252228287,0.8219068830034175,0.12656596914194185,0.0013411156282415499,0.0014163322659883572,0.018482599066300308,0.026029249845314247,0.0005408044235722786
Chile,0.007579833798468335,0.047359368828592194,0.9191952678320986,0.0006965833469246215,0.005334088387586021,0.009987419424386742,0.008240521989155243,0.0016069163927871714
ECB,0.9589367784358206,0.006018929252172092,0.02912424187799021,0.00019970519796858724,0.00012629255414770108,0.004171772296409743,0.0008818996962203995,0.0005403806892695645
Fed,0.0061523718520090495,0.022000105315215297,0.28137387744552295,0.002361177707961443,0.6263257127104925,0.033500630429611315,0.024850171201240178,0.0034359533379460933
Hungary,0.05854448375681536,0.057652635431779564,0.851017215967431,0.0012462288795516642,0.0007065104947790643,0.010022877772331329,0.020103537046439295,0.0007065106508715214
Iceland,0.21117365294522505,0.2631746972147448,0.2699706838728916,0.00030306542752293333,0.0762610122256043,0.020717926741637867,0.1560720622255788,0.0023268993467932997
Indonesia,0.033220466757051544,0.4822082109936665,0.4459721592642446,0.00028310525750875,0.0006079910806774358,0.014104401387743992,0.02292831012378343,0.0006753551353226358
Japan,0.013191010839495821,0.059532648106077356,0.0740583504917897,0.7670063239976626,0.0038162915554759923,0.006869061908091314,0.07171002074810083,0.003816292353305357
Korea,0.0011997916258599715,0.06947760372043403,0.27453818545325787,0.03868098279136337,0.0017929159700965072,0.0011997917944329714,0.009270362940134464,0.6038403657044197
NewZealand,0.03780617453993892,0.37289651715393074,0.37205326651457166,0.0005497474294908571,0.0005497473233402214,0.21326038357870672,0.0005497476773070429,0.0023344157827131146
Norway,0.0034245622222538363,0.40482366930302727,0.5553323782184963,0.0005578399409080928,0.0005578399219705714,0.005442164169481678,0.015034002472977493,0.014827543750883534
Peru,0.0009335785996272072,0.009151348635694306,0.7492941114456765,0.0010581496223104928,0.0027144736381587,0.008686548594995486,0.2263715802904913,0.0017902091730448428
Philippines,0.03313643686757216,0.02449277849504392,0.5636055572950732,0.2882427789275712,0.004143328315398628,0.024881565355181656,0.05405640424508359,0.007441150499074428
Poland,0.0018754110419214002,0.0028643100118775572,0.9778403418416618,0.0002582123627613857,0.000578605323319243,0.0006477853363525358,0.01567712154543007,0.00025821253667482856
Thailand,0.0011732275433464358,0.7478615057172987,0.22742203412602208,0.0011732269141615428,0.003122744567913064,0.011614201198143877,0.006459832400337043,0.0011732275327761643
